,wellbeing,mental_health_support,aware_of_wellbeing_resources,used_resources_in_past,rating_of_services_used,open_question,wellbeing_communication,physical_activity,sleep_hours,physical_health,connected_at_university,support_network,sad,assignments,years_in_university,satisfied_university,overwhelmed,workload
0,4,1,2,2,,Actually communicating that they have support and resources would be already a nice thing to do,1,1,3,2,3,4,1,2,0,3,3,4
1,4,2,2,2,,Study from home. More Zoom-Lessons,2,1,4,3,1,4,2,3,3,2,2,2
2,3,2,2,2,,Sticking to the google calendar provided and not changing things around always as we all have plans and have to cancel,1,2,4,2,3,3,1,1,0,3,4,4
3,3,1,1,2,,"Ongoıng support over longer perioda of tıme for chronıc challenges. For example, when I needed support for my chronıc anxıety and mental health dısabılıtıes, I had a few sessıons but then once they were fınıshed they acted lıke I was ""cured"" and never followed up agaın. Now I feel reluctant to reach out to the school support as I feel ıt ıs not meant for someone wıth the challenges that I face.",2,2,4,2,3,3,2,2,3,4,4,4
4,4,2,1,2,,"MORE OPTIONS WITH FOOD FOR ALLERGIC PEOPLE.
",1,4,4,3,3,4,1,2,0,4,3,3
5,4,0,0,2,,I dont think there is any,2,3,4,3,3,4,1,2,0,4,4,4
6,4,2,2,1,Positive,"- better communication and explanation of courses
- no need to be in the ini 5 days a week, sometimes I feel like its a waste of time. the time I could've spend working on my projects ",1,3,4,4,3,4,2,2,0,3,4,4
7,3,1,2,2,,"some more time for selfstudy/time for myself, to reflect on my work and collect my thoughts better",1,3,4,3,3,4,2,2,0,3,3,4
8,3,2,0,2,,I don´t really need any.,2,1,4,3,4,4,1,3,0,3,3,3
9,3,0,0,2,,"Unsure, maybe small input about where to go or find help if needed.",2,1,3,1,2,3,2,3,3,3,3,3
10,4,1,2,2,,,1,2,3,3,2,4,2,3,0,4,3,3
11,4,0,1,2,,,2,1,3,2,4,4,2,3,0,4,2,2
12,3,1,1,2,,neurodivergence awareness and autoimmune diseases,2,2,3,1,3,4,3,3,0,5,4,3
13,3,1,1,2,,Maybe smaller classes ( art- ) ,2,3,4,2,1,4,3,1,0,4,3,3
14,3,1,2,2,,Uhhh just like a number or office to go to (flyers and stuff),1,1,3,1,3,3,2,2,0,4,4,3
15,3,2,1,2,,,3,3,4,3,3,4,2,3,2,4,3,2
16,4,1,0,2,,"more plants in the building
",1,3,4,2,3,4,2,4,0,4,3,2
17,4,2,1,2,,,3,3,4,3,4,3,2,3,1,4,2,2
18,4,1,2,2,,:-) thank you,1,1,4,2,4,4,1,2,2,4,2,3
19,3,1,1,0,,"Less workload; more extra curricular; clear communications about activities, assignments and deadlines; promote more group activites during modules rather than dividing into teams within.",1,3,4,3,2,2,2,1,0,4,4,3
20,3,1,1,2,,Unsure. Maybe your social events and opportunities to meet people outside my program,2,2,2,2,1,2,2,4,0,4,3,2
21,3,1,1,2,,Connecting students,1,2,4,2,2,2,3,3,3,4,3,3
22,4,1,0,2,,Having more time to accomplish the assignments. ,2,3,4,3,2,4,2,1,0,4,3,3
23,4,2,0,2,,,3,3,2,2,4,3,2,1,0,3,4,3
